user_id,user_min,user_max,pred_order_seq,prediction,prediction_values
user_10014,60.46,85.11,1,1.0869181156158447,87.25253154993058
user_10014,60.46,85.11,2,1.0901590585708618,87.33242079377175
user_10014,60.46,85.11,3,1.0897057056427002,87.32124564409256
user_10014,60.46,85.11,4,1.0891255140304565,87.30694392085076
user_10025,710.64,710.64,1,1.0361562967300415,710.64
user_10025,710.64,710.64,2,1.0757611989974976,710.64
user_10025,710.64,710.64,3,1.083017349243164,710.64
user_10025,710.64,710.64,4,1.0872565507888794,710.64
user_10040,4.77,85.11,1,1.0857411623001099,91.99844497919082
user_10040,4.77,85.11,2,1.0890717506408691,92.26602444648742
user_10040,4.77,85.11,3,1.0896241664886475,92.31040553569794
user_10040,4.77,85.11,4,1.0895071029663086,92.30100065231323
user_10054,72.26,165.7,1,1.081979751586914,173.36018798828124
user_10054,72.26,165.7,2,1.0849720239639282,173.63978591918942
user_10054,72.26,165.7,3,1.0896822214126587,174.07990676879882
user_10054,72.26,165.7,4,1.0889779329299927,174.0140980529785
user_10074,4.0,84.255,1,1.0824106931686401,90.8688701802492
user_10074,4.0,84.255,2,1.0859133005142212,91.14997193276882
user_10074,4.0,84.255,3,1.0896480083465576,91.44970090985298
user_10074,4.0,84.255,4,1.089396357536316,91.42950467407702
user_10090,3.06,28.934,1,1.0850422382354736,31.134382872104645
user_10090,3.06,28.934,2,1.0888469219207764,31.23282525777817
user_10090,3.06,28.934,3,1.0896567106246948,31.253777730703355
user_10090,3.06,28.934,4,1.089647650718689,31.25354331469536
user_10099,5.11,85.11,1,1.0824357271194458,91.70485816955566
user_10099,5.11,85.11,2,1.0859636068344116,91.98708854675293
user_10099,5.11,85.11,3,1.0896475315093994,92.28180252075195
user_10099,5.11,85.11,4,1.0894185304641724,92.26348243713379
user_10173,0.6,1706.695,1,1.083627700805664,1849.3718022060393
user_10173,0.6,1706.695,2,1.0876693725585938,1856.267278175354
user_10173,0.6,1706.695,3,1.089780330657959,1859.8687732338906
user_10173,0.6,1706.695,4,1.090159296989441,1860.5153257972001
user_10178,8.51,14.163333333333334,1,1.0854686498641968,14.646516100565593
user_10178,8.51,14.163333333333334,2,1.0892634391784668,14.667969309488933
